user_id,KC5,KC4,KC2,KC1,KC7,KC8,KC3,KC6
1542,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2589,,,,,,,,
1909,Revisit based on activity (if it is related to my assessment),Never,Revisit based on activity (if it is related to my assessment),Never,Revisit based on activity (if it is related to my assessment),Never,Revisit based on activity (if it is related to my assessment),Never
1536,,,,,,,,
2043,,,,,,,,
1325,,,,,,,,
1461,Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Never,Revisit based on activity (if it is related to my assessment),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs)
1225,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1807,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Never,Revisit based on activity (if it is mentioned in lectures or labs)
2086,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Others,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment)
2330,,,,,,,,
2477,Revisit based on activity (if I see it in quiz),Others,,,,,,
1555,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1995,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly)
2375,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1581,Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly)
2249,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly)
2406,,,,,,,,
2774,Revisit based on activity (if it is related to my assessment),Never,Revisit based on activity (if it is related to my assessment),Never,Never,Never,Revisit based on activity (if it is related to my assessment),Never
2904,Revisit by myself (weekly),Never,Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit by myself (weekly),Revisit by myself (monthly),Never
2145,Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment)
1787,Only when notified by course convener,Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit by myself (weekly),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
